,org,person,count,keywords in emails,files
0,Kay Mann/Corp,Kay Mann,29,"mann corp enron, invoice information turbopark, payment terms enron, copy enron project, valley contract think, change order needed, pegasus ge documents, kay mann enron, austin facility agreement, changes document agreed","{'35526.txt', '28496.txt', '12996.txt', '20428.txt', '6074.txt', '20750.txt', '2572.txt', '31870.txt', '2702.txt', '4225.txt', '32712.txt', '32497.txt', '27252.txt', '9440.txt', '26581.txt', '17611.txt', '15531.txt', '29743.txt', '16426.txt', '34959.txt', '29507.txt', '37434.txt', '30856.txt', '26605.txt', '30654.txt', '5305.txt', '11436.txt', '30771.txt', '39737.txt'}"
1,ISDA,Sara Shackleton,13,"texas 77002 713, valentis investors llc, cd holdings jointly, linkage documents originally, subject wexford, request isda documents, duke energy file, clair enron com, isda working office, paralegal sara","{'28036.txt', '5869.txt', '35526.txt', '1037.txt', '4234.txt', '19282.txt', '11672.txt', '270.txt', '18812.txt', '31044.txt', '6680.txt', '11160.txt', '28836.txt'}"
2,ET&S,Drew Fossum,12,"print thanks df, enron enron, transport options documents, workshop pls, fawcett 08 30, df forwarded drew, handouts video conference, document controls investigation, enron enron subject, attached draft","{'9258.txt', '10106.txt', '17747.txt', '27075.txt', '9198.txt', '24009.txt', '27893.txt', '16835.txt', '27112.txt', '6781.txt', '18175.txt', '38173.txt'}"
3,GE,Kay,12,"ge break contract, draft monday close, complete document, asked prepare memo, work session, lee receiving package, vitro termination agreement, invoice status assignment, ge received, enron enron","{'38919.txt', '30654.txt', '5236.txt', '21253.txt', '24683.txt', '37322.txt', '29441.txt', '12633.txt', '37990.txt', '10590.txt', '9905.txt', '5553.txt'}"
4,CES,Chris Germany,12,"invoice adjustment clinton, germany hou ect, storage true invoice, deals question central, billed new power, ces september probably, does reconciliation look, power gas marketing, cc wade price, volume match purchases","{'8568.txt', '29771.txt', '22360.txt', '27560.txt', '31219.txt', '24420.txt', '18230.txt', '24303.txt', '36113.txt', '23362.txt', '23565.txt', '1459.txt'}"
5,ENA,Kay Mann,9,"subject lm6000 turbines, consents assignment successors, corp enron 12, added pastoria train, change document pentultimate, organization llc agreement, entities ena prepare, documents minute books, invoice language kay, sel wanted originals","{'25975.txt', '28496.txt', '5252.txt', '24580.txt', '24281.txt', '20750.txt', '30771.txt', '30355.txt', '39737.txt'}"
6,Sitara,Daren J Farmer,9,"adjust october forward, midcon invoices midcon, forwarded lauri, rate elsa, charging haul thanks, ect ect subject, texas city volumes, sitara deal tickets, april noms, taylor hou ect","{'6026.txt', '23718.txt', '10169.txt', '27293.txt', '13403.txt', '24454.txt', '31365.txt', '18551.txt', '12993.txt'}"
7,Sara Shackleton Enron North America Corp,Sara Shackleton,8,"texas 77002 713, valentis investors llc, cd holdings jointly, linkage documents originally, subject wexford, duke energy file, clair enron com, isda working office, paralegal sara, file know papers","{'19319.txt', '1037.txt', '11672.txt', '18812.txt', '31044.txt', '17179.txt', '6680.txt', '28836.txt'}"
8,EB,Sara Shackleton,8,"texas 77002 713, valentis investors llc, cd holdings jointly, linkage documents originally, subject wexford, duke energy file, clair enron com, isda working office, paralegal sara, file know papers","{'19319.txt', '1037.txt', '11672.txt', '18812.txt', '31044.txt', '17179.txt', '6680.txt', '28836.txt'}"
9,Broncos,Davis,8,"coupon code high10pc, glory planters crunch, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, watters http football210, game indianapolis don, planters crunch time","{'13448.txt', '711.txt', '38915.txt', '22279.txt', '27308.txt', '31814.txt', '23062.txt', '17483.txt'}"
